ababa	a bab a
abazihlalele	a ba zi hlal el e
abaziphatha	a ba zi phath a
abaziphethe	a ba zi pheth e
abaziwayo	a b az iw a yo
abazofuna	a ba zo fun a
abazokukhombisa	a ba zo ku khomb is a
abazothenga	a ba zo theng a
abazukuhlala	a ba zu ku hlal a
abe	a b e
abebekwenza	a be be kw enz a
abebengaqonde	a be be nga qond e
abebezivakashele	a be be zi vakash el e
abebusa	a be bus a
abefundisi	a be fund is i
abehlukana	a b ehluk an a
abekade	a be kade
abeke	a bek e
abekezela	a bekezel a
abekucele	a be ku cel e
abelokhu	a be lokhu
abelungu	a be lungu
abemgwema	a b e m gwem a
abempofu	a be mpofu
abengamele	a b engamel e
abenjalo	a be njalo
abese	a be se
abeseduze	a be se duze
abesesizakele	a be se si zakele
abesibeke	a b e si bek e
abezayo	a b ez a yo
abhalisele	a bhal is el e
abheke	a bhek e
abhokode	a bhokod e
abilayo	a bil a yo
abitoze	a bitoz e
abizwe	a biz w e
abo	a bo
abobuya	a bo buy a
abomvu	a bomvu
abona	a bo na, a bon a
abonakale	a bon akal e
abone	a bon e
abonge	a bong e
abrahama	abrahama
abukeke	a buk ek e
abulala	a bulal a
abulale	a bulal e
abuse	a bus e
abuveze	a bu vez e
abuya	a buy a
abuye	a buy e
abuyele	a buy el e
abuze	a buz e
acabange	a cabang e
acabangisise	a cabang isis e
acashise	a cash is e
acasuke	a casuk e
acele	a cel e
achithe	a chith e
acingwe	a cing w e
acwala	a cwal a
adam	adam
adamu	adamu
adedelwe	a dedel w e
adideke	a did ek e
adinge	a ding e
adle	a dl e
adoni	adoni
adonselwa	a donsel w a
adumbe	a dumb e
afakane	a fak an e
afake	a fak e
afande	a fand e
afanele	a fanel e
afe	a f e
afele	a f el e
afika	a fik a
afike	a fik e
afinyelele	a finyelel e
africa	africa
afrika	afrika
afuna	a fun a
afunde	a fund e
afune	a fun e
agane	a gan e
agcizeleleke	a gcizel el ek e, a gcizelel ek e
agcobe	a gcob e
agingqike	a gingqik e
agugele	a gug el e
aguqe	a guq e
agwilize	a gwiliz e
ahamba	a hamb a
ahambe	a hamb e
ahlabayo	a hlab a yo
ahlabe	a hlab e
ahlakaniphile	a hlakaniph ile
ahlala	a hlal a
ahlale	a hlal e
ahlambulule	a hlambulul e
ahlangane	a hlangan e
ahle	a hle
ahleka	a hlek a
ahleke	a hlek e
ahlolisise	a hlol isis e
ahlupheke	a hluph ek e
ajabule	a jabul e
akabange	a ka bang e, a ka bange
akabezwa	a ka bez w a
akabona	a ka bo na
akaboni	a ka bon i
akabotshelwa	a ka bo tshel w a
akacabangi	a ka cabang i
akachithanga	a ka chith anga
akade	a kade
akadingi	a ka ding i
akafunde	a ka fund e
akafuni	a ka fun i
akagangile	a ka gang ile
akahambe	a ka hamb e
akahlakaniphile	a ka hlakaniph ile
akahlale	a ka hlal e
akakakwazi	a ka ka kw azi
akakalilandi	a ka ka li land i
akakavuki	a ka ka vuk i
akakawufaki	a ka ka wu fak i
akakazilanduli	a ka ka zi landul i
akake	a ka ke
akakhulunyiswa	a ka khuluny is w a
akakuyeke	a ka ku yek e
akakwazi	a ka kw azi
akalahlwa	a ka lahl w a
akalindanga	a ka lind anga
akalokothi	a ka lokoth i
akamkhombisi	a ka m khomb is i
akamnaka	a ka m nak a
akamthengiseli	a ka m theng is el i
akanandaba	aka na ndaba
akanangqando	a ka na n gqand o
akanangqondo	a ka na n gqond o
akanaye	a ka na ye
akanayo	a ka na yo
akaphiwa	a ka ph iw a
akaphume	a ka phum e
akaphumeleli	a ka phumelel i
akasadlali	a ka sa dlal i
akasafuni	a ka sa fun i
akasakhulumisi	a ka sa khulum is i
akasalubhaqi	a ka sa lu bhaq i
akasayisuseli	a ka sa yi sus el i
akasemubi	a ka se mu bi
akasenakubuya	a ka se na ku buy a
akasenamandla	a ka se na ma ndla
akasethathwe	a ka se thath w e
akasezukubuya	a ka se zu ku buy a
akasheshanga	a ka shesh anga
akathanda	a ka thand a
akathandanga	a ka thand anga
akathanga	a ka th anga
akathatheni	a ka thath en i
akavale	a ka val e
akavinjwa	a ka vinj w a
akawenzanga	a ka w enz anga
akawufuni	a ka wu fun i
akayekwe	a ka yek w e
akayiboni	a ka yi bon i
akayolala	a ka yo lal a
akazalwanga	a ka zal w anga
akazange	a ka zang e
akaze	a ka ze
akazi	a k azi
akazimisele	a ka zi m is el e
akazubakhona	a ka zu b a kho na
akazukuba	a ka zu ku b a
ake	ake
akekho	a k ekho
akenze	a k enz e, a kenz e
akeze	a k ez e
akezwa	a k ezw a
akhale	a khal e
akhe	a kh e, a khe
akhetha	a kheth a
akhethe	a kheth e
akhexele	a khex el e
akhiphe	a khiph e
akho	a kho
akhohlwe	a khohl w e
akhombisa	a khomb is a
akhuleka	a khul ek a
akhulume	a khulum e
akhumbule	a khumbul e
akhungatheke	a khungath ek e
akhushulelwe	a khushul el w e
akhweleka	a khwel ek a
akhwelephi	a khwel e phi
akoni	a k on i
akubange	a ku bang e
akube	a ku b e
akubokwenziwa	a ku bo kw enz iw a
akucabange	a ku cabang e
akudliwa	a ku dl iw a
akudobele	a ku dob el e
akufananga	a ku fan anga
akufanele	a ku fan el e, a ku fanel e
akufikanga	a ku fik anga
akufunayo	a ku fun a yo
akufunde	a ku fund e
akuhambi	a ku hamb i
akukhethi	a ku kheth i
akukho	a ku kho
akukhona	a ku kho na
akukhulunywa	a ku khuluny w a
akukhumbule	a ku khumbul e
akukwakho	a ku kwa kho
akumangalisi	a ku mangal is i
akumsizanga	a ku m siz anga
akumsizi	a ku m siz i
akunakwenzeka	a ku na kw enz ek a
akungeni	a ku ngen i
akungihluphi	a ku ngi hluph i
akungiphathi	a ku ngi phath i
akungiphe	a ku ngi ph e
akunjena	a ku nje na
akunyama	a ku nyama
akuphelanga	a ku phel anga
akuphume	a ku phum e
akupuneki	a ku pun ek i
akusasho	a ku sa sho
akusasizi	a ku sa siz i
akusavumi	a ku sa vum i
akusekho	a ku se kho
akushesheki	a ku shesh ek i
akusho	a ku sho
akusibo	a ku si bo
akusile	a ku s ile
akusiyona	a ku si yo na
akusizanga	a ku siz anga
akusizi	a ku siz i
akususe	a ku sus e
akuthi	a ku th i
akuvami	a ku vam i
akuvinjwe	a ku vinj w e
akuwona	a ku wo na
akuyeke	a ku yek e
akuyena	a ku ye na
akuyikho	a ku yi kho
akuyo	a ku yo
akuyona	a ku yo na
akuzange	a ku zange
akuze	a ku z e
akuzona	a ku zo na
akuzuyiwa	a ku zu y iw a
akuzwakali	a ku zw akal i
akwanele	a kw anel e
akwazi	a kw azi
akwaziwa	a kw az iw a
akwengule	a kw engul e
akwenzekanga	a kw enz ek anga
akwenzeki	a kw enz ek i
akwenzele	a kw enz el e
akwenziwa	a kw enz iw a
alale	a lal e
alandelandele	a landeland el e
alandilandiswe	a landiland is w e
alayeze	a layez e
alekelele	a lekelel e
alesi	a lesi
alfred	alfred
alibhekisisa	a li bhek isis a
aliboni	a li bon i
alikadluli	a li ka dlul i
alindele	a lind el e
aliphakamise	a li phakam is e
alisabashiseli	a li sa ba sh is el i
alishaye	a li shay e
alishisi	a li sh is i
alithole	a li thol e
aliveze	a li vez e
alize	a li z e
alokhu	a lokhu
alomisile	a lom is ile
alotsholwa	a lotshol w a
altare	altare
aluhlaza	a luhlaza
alunga	a lung a
aluphethe	a lu pheth e
alusekho	a lu se kho
alushi	a lu sh i
alwa	a lw a
ama	a m a
amaambulense	a ma ambulense
amabhasi	a ma bhasi
amabhodlela	a ma bhodlela
amabili	a ma bili
amabunzi	a ma bunzi
amabutho	a ma buth o
amacala	a ma cala
amadlangala	a ma dlangala
amadoda	a ma doda
amadodakazi	a ma doda kazi
amadodana	a ma dod ana
amafasitela	a ma fasitela
amafu	a ma fu
amafutha	a ma futha
amagama	a ma gama
amagilo	a ma gilo
amagogolo	a ma gogolo
amahebezi	a ma hebez i, a ma hebezi
amahlanu	a ma hlanu
amahleza	a ma hleza
amahlombe	a ma hlombe
amakhala	a ma khala
amakhasi	a ma khasi
amakhehla	a ma khehla
amakhekhe	a ma khekhe
amakholwa	a ma khol w a
amakhosikazi	a ma khosi kazi
amakhulu	a ma khulu
amalambu	a ma lambu
amaloli	a ma loli
amanani	a ma nani
amandla	a ma ndla
amandwandwe	a ma ndwandwe
amane	a mane
amanesi	a ma nesi
amanga	a ma nga
amangale	a mangal e
amangalisa	a mangal is a
amangelengele	a ma ngele ngele
amangqoza	a ma ngqoza
amangwevu	a ma ngwevu
amanhlakomuzi	a ma n hlak o mu zi
amaningi	a ma ningi
amanqe	a ma nqe
amantombazana	a ma ntombaz ana
amantombazane	a ma ntombaz ane
amanye	a ma nye
amaphayiphi	a ma phayiphi
amaphepha	a ma phepha
amaphephandaba	a ma phepha n daba
amaphinifo	a ma phinifo
amaphoyisa	a ma phoyisa
amaphuzu	a ma phuzu
amapotimende	a ma potimende
amaprojekthi	a ma projekthi
amaprojekti	a ma projekti
amaqabunga	a ma qabunga
amaqakala	a ma qakala
amaqembu	a ma qembu
amaqhawe	a ma qhawe
amaqhude	a ma qhude
amarandi	a ma randi
amashumi	a ma shumi
amasi	a ma si
amathambo	a ma thambo
amathathu	a ma thathu
amathe	a ma the
amathini	a ma thini
amathinzane	a ma thinz ane
amathoshi	a ma thoshi
amatiye	a ma tiye
amatshe	a ma tshe
amawadi	a ma wadi
amawundlu	a ma wundlu
amayembe	a ma yembe
amayenjana	a ma yenj ana
amazambane	a ma zambane
amazinyo	a ma zinyo
amazwe	a ma zwe
amazwi	a ma zw i
ambone	a m bon e
ambuyisele	a m buy is el e
ambuzisise	a m buz isis e
amcele	a m cel e
amcusukela	a m cusuk el a
ame	a m e
amehlo	a me hlo
ameme	a mem e
amenza	a m enz a
amfanisayo	a m fan is a yo
amfanise	a m fan is e
amfice	a m fic e
ami	a mi
amkhakhabisela	a m khakhab is el a
amlethele	a m leth el e
amnike	a m nik e
amphendule	a m phendul e
amshiya	a m shiy a
amteta	a m tet a
amthola	a m thol a
amthungatha	a m thungath a
amtshele	a m tshel e
amuzwe	a mu z w e, a mu zw e
amxoshe	a m xosh e
amyeke	a m yek e
ana	ana
anakwe	a nak w e
ancono	a ncono
andise	and is e
anesisindo	a n e si sind o
anezimali	a n e zi mali
angabasiza	a nga ba siz a
angabe	a nga be
angabi	a nga b i
angabulawa	a nga bula w a
angabuyi	a nga buy i
angafike	a nga fik e
angafiki	a nga fik i
angagezi	a nga gez i
angahamba	a nga hamb a
angahambi	a nga hamb i
angahlela	a nga hlel a
angakapholi	a nga ka phol i
angakaya	a nga ka y a
angake	a nga ke
angakuboni	a nga ku bon i
angakufisi	a nga ku fis i
angakuphika	a nga ku phik a
angakuthatha	a nga ku thath a
angalesosikhathi	a nga le s o si khathi
angambulala	a nga m bulal a
angamdleli	a nga m dl el i
angamdumazi	a nga m dumaz i
angamelana	a nga m el an a
angamqeda	a nga m qed a
angamshaya	a nga m shay a
angaphaphama	a nga phapham a
angaphela	a nga phel a
angaphinde	a nga phind e
angaphuza	a nga phuz a
angaqeda	a nga qed a
angaqedi	a nga qed i
angase	a nga se
angashaywa	a nga shay w a
angasho	a nga sho
angasuka	a nga suk a
angasuke	a nga suk e
angavuma	a nga vum a
angawaqondi	a nga wa qond i
angawunyakazisa	a nga wu nyakaz is a
angawuthola	a nga wu thol a
angayazi	a nga y azi
angayenza	a nga y enz a
angayenzela	a nga y enz el a
angayi	a nga y i
angayilaleli	a nga yi lalel i
angayingeni	a nga yi ngen i
angayiqeda	a nga yi qed a
angazanga	a ng az anga
angaze	a nga ze, a ngaz e
angazi	a ng azi
angazibona	a nga zi bon a
angazingcolisi	a nga zi ngcol is i
angebe	a ng eb e
angeke	a ngeke
angena	a ngen a
angene	a ngen e
angenzanga	a ng enz anga
angenzani	a ng enz a ni
angesabi	a ng esab i
angeze	a ng ez e
angezi	a ng ez i
angibambela	a ngi bamb el a
angibange	a ngi bang e
angibazi	a ngi baz i
angibizanga	a ngi biz anga
angiboni	a ngi bon i
angibuyanga	a ngi buy anga
angidlubulundele	a ngi dlubulund el e
angidonswanga	a ngi dons w anga
angifundise	a ngi fund is e
angifuni	a ngi fun i
angigcinanga	a ngi gcin anga
angigculiswa	a ngi gcul is w a
angigibele	a ngi gibel e
angihambe	a ngi hamb e
angikaze	a ngi ka ze
angikazukuya	a ngi ka zu ku y a
angikhola	a ngi khol a
angikusoli	a ngi ku sol i
angikutholi	a ngi ku thol i
angikwazi	a ngi kw azi
angikwesabi	a ngi kw esab i
angilandiwe	a ngi land iw e
angilethela	a ngi lethel a
angilindele	a ngi lind el e
angilutho	a ngi lu tho
angimbonanga	a ngi m bon anga
angimgijimele	a ngi m gijim el e
angimnike	a ngi m nik e
angimyeke	a ngi m yek e
anginakukwenza	a ngi na ku kw enz a
anginamali	a ngi na mali
anginazihlobo	a ngi na zi hlobo
angincenge	a ngi nceng e
angiphathe	a ngi phath e
angiphekile	a ngi phek ile
angiphuze	a ngi phuz e
angiqonde	a ngi qond e
angisafuni	a ngi sa fun i
angisakushiyi	a ngi sa ku shiy i
angisandi	a ngi s and i
angisaphathi	a ngi sa phath i
angisaphunyulanga	a ngi sa phunyul anga
angisayithandi	a ngi sa yi thand i
angisenalo	a ngi se na lo
angisenalutwetwe	a ngi se na lu twetwe
angiseyona	a ngi se yo na
angishaye	a ngi shay e
angisho	a ngi sho
angithi	a ngi thi
angithokozi	a ngi thokoz i
angitshele	a ngi tshel e
angiyazi	a ngi y azi
angiyifiseli	a ngi yi fis el i
angiyifuni	a ngi yi fun i
angiyiqondi	a ngi yi qond i
angiyobhukada	a ngi yo bhukad a
angizalwanga	a ngi zal w anga
angizange	a ngi zange
angizokubiza	a ngi zo ku biz a
angizokubuza	a ngi zo ku buz a
angizwani	a ngi zw an i
anikezwe	a nikez w e
anikine	a nikin e
aninamahloni	a ni na ma hloni
anisenayo	a ni se na yo
anodabulibhayi	a n o dabul i bhayi
anqamule	a nqamul e
anqandeke	a nqand ek e
anti	anti
anxuswe	a nxus w e
aphanga	a phang a
aphansi	a phansi
aphawule	a phawul e
aphele	a phel e
aphengule	a phengul e
aphinde	a phind e
aphindele	a phind el e
aphiphithe	a phiphith e
aphuma	a phum a
aphume	a phum e
aphuphe	a phuph e
aphuziswe	a phuz is w e
aqala	a qal a
aqalaze	a qalaz e
aqale	a qal e
aqhela	a qhel a
aqhuqhe	a qhuqh e
aqhwakele	a qhwak el e
aqinile	a qin ile
aqwashe	a qwash e
aroni	aroni
asabe	a sab e
asafisa	a sa fis a
asakulindile	a sa ku lind ile
asamhlupha	a sa m hluph a
asasele	a sa sel e
asashiya	a s a shiy a
asazi	a s azi
asazike	a s azi ke
ase	a s e
asebehamba	a se be hamb a
asebejwayelene	a se be jwayel en e
asebekwazi	a se be kw azi
asebemphuzisile	a se be m phuz is ile
asebenza	a sebenz a
asebenzela	a sebenz el a
asebenzile	a sebenz ile
asebenzise	a sebenz is e
asebesebenza	a sebe sebenz a
asebewahlaeunelwe	a se be wa hlaeun el w e
asebuza	a se buz a
asecabange	a se cabang e
asecuphe	a se cuph e
asefinyele	a se finyel e
asefuna	a se fun a
asekushilo	a se ku sh ilo
aselindele	a se lind el e
aselungisela	a se lung is el a
asemhenqa	a se m henq a
asemqoka	a se m qok a
asengizonda	a se ngi zond a
asenzise	a s enz is e
aseqhubeka	a se qhub ek a
asethuse	a s ethus e
aseyaphela	a se ya phel a
aseyenzile	a se y enz ile
aseyicabangile	a se yi cabang ile
asezikhohliwe	a se zi khohl iw e
asezisefweni	a se zi sefw eni
asezociba	a se zo cib a
asezoyidlulisa	a se zo yi dlul is a
ashaye	a shay e
ashayeke	a shay ek e
ashayise	a shay is e, a shayis e
asheri	asheri
ashikenaze	ashikenaze
ashintshe	a shintsh e
ashiye	a shiy e
asho	a sho
asibekela	a si bek el a
asibonge	a si bong e
asigudluze	a si gudluz e
asihambe	a si hamb e
asikasho	a si ka sho
asikho	a si kho
asikufuni	a si ku fun i
asikwazi	a si kw azi
asikwenzanga	a si kw enz anga
asilazi	a si l az i
asilingise	a si ling is e
asinamfundisi	a si na m fund is i
asinamsebenzi	a si na m sebenz i
asiphindele	a si phind el e
asiphuthume	a si phuthum e
asisafuni	a si sa fun i
asisahlezi	a si sa hlez i
asisaphefumuli	a si sa phefumul i
asisazi	a si s azi
asitela	a si tel a
asithole	a si thol e
asitshele	a si tshel e
asivakashayo	a si vakash a yo
asixolele	a si xol el e
asixolelwa	a si xol el w a
asiyiyeke	a si yi yek e
asizame	a si zam e
asizange	a si zange
asizethwele	a si z ethwel e
asiziyeke	a si zi yek e
asizona	a si zo na
asizosatshiswa	a si zo satsh is w a
asizwakali	a si zw akal i
asola	a sol a
asole	a sol e
asondele	a sondel e
asukuma	a sukum a
aswele	a swel e
athande	a thand e
athathe	a thath e
athathwe	a thath w e
athenge	a theng e
athengisele	a theng is el e
athengwa	a theng w a
athi	a thi
athini	a thi ni
athole	a thol e
athufele	a thufel e
athukuthele	a thukuthel e
athule	a thul e
athunqisa	a thunq is a
avake	a vak e
avamele	a vamel e
avamise	a vamis e
avele	a vel e
avuke	a vuk e
avukwe	a vuk w e
avule	a vul e
avuleka	a vul ek a
awabalekele	a wa balek el e
awakhothameli	a wa khotham el i
awasale	a wa sal e
awasenziwa	a wa s enz iw a
awathole	a wa thol e
awayeke	a wa yek e
awayikubuyela	a wa yi ku buy el a
awazange	a w a zang e
awazi	a w azi
awebhubesi	a w e bhubesi
awehlukaniswa	a w ehluk an is w a
awekho	a w ekho
awela	a wel a
awezwe	a w ez w e, a w ezw e
awo	a wo
awodwa	a wo dwa
awu	awu
awubange	a wu bang e
awuboni	a wu bon i
awuchele	a w uchel e, a wu chel e
awufanele	a wu fanel e
awufikanga	a wu fik anga
awugcobe	a wu gcob e
awukafuni	a wu ka fun i
awukhombe	a wu khomb e
awukuhlanganisi	a wu ku hlangan is i
awukulahlile	a wu ku lahl ile
awukuzwe	a wu ku zw e
awukwazi	a wu kw azi
awumenzeli	a wu m enz el i
awunaye	a wu na ye
awungazi	a wu ng azi
awungiyeke	a wu ngi yek e
awunyakazisa	a wu nyakaz is a
awuqambi	a wu qamb i
awusakhumbuli	a wu sa khumbul i
awusalindi	a wu sa lind i
awusasebenzi	a wu sa sebenz i
awusazi	a wu s azi
awusho	a wu sho
awushude	a wu shud e
awusizwa	a wu siz w a
awuthathe	a wu thath e
awuthathwe	a wu thath w e
awuzange	a wu zange
awuzithathi	a wu zi thath i
awuzozwa	a wu zo zw a
awuzwa	a wu zw a
awzange	a w zange
axakwe	a xak w e
axoxe	a xox e
aya	a y a
ayabona	a ya bon a
ayabuzisana	a y a buzis an a
ayacasula	a ya casul a
ayahambelana	a ya hamb el an a
ayakhuluma	a ya khulum a
ayakuthanda	a ya ku thand a
ayalazi	a ya l azi
ayaludinga	a ya lu ding a
ayamenyezelwa	a ya menyez el w a
ayamhlaba	a ya m hlab a
ayamhlanganyela	a ya m hlangany el a
ayamkhumbula	a ya m khumbul a
ayasebenza	a ya sebenz a
ayatholakala	a ya thol akal a
ayaziyo	a y azi yo
aye	a y e
ayebazi	a ye b azi
ayefa	a ye f a
ayehlukene	a y ehluk en e, a ye hluk en e
ayeke	a yek e
ayekhuluma	a ye khulum a
ayekubo	a ye ku bo
ayekuphethe	a ye ku pheth e
ayekuyo	a ye ku yo
ayelokhu	a ye lokhu
ayelwa	a ye lw a
ayemthemisa	a ye m them is a
ayeneliswa	a y enel is w a
ayenentukuthelo	a ye n e n tukuthel o
ayengafihlelwa	a ye nga fihl el w a
ayengakhishwanga	a ye nga khish w anga
ayengasaphumi	a ye nga sa phum i
ayengasebenzi	a ye nga sebenz i
ayengatshelwanga	a ye nga tshel w anga
ayengawafanele	a ye nga wa fan el e
ayengaxoxa	a ye nga xox a
ayengayazi	a ye nga y azi
ayengaze	a ye nga ze
ayengibheke	a ye ngi bhek e
ayenokubonisana	a ye n o ku bon is an a
ayenyathela	a ye nyathel a
ayenza	a y enz a
ayenzayo	a y enz a yo
ayenze	a y enz e
ayenzile	a y enz ile
ayephambili	a ye phambili
ayesafisa	a ye sa fis a
ayese	a ye se
ayesebenza	a ye sebenz a
ayesefica	a ye se fic a
ayesekuzwile	a ye se ku zw ile
ayesemaningi	a ye se ma ningi
ayesenawo	a ye se na wo
ayeseqala	a ye se qal a
ayesethe	a ye se th e
ayesezama	a ye se zam a
ayesezilahle	a ye se zi lahl e
ayesho	a ye sho
ayeyazi	a ye y azi
ayeyibheke	a ye yi bhek e
ayeyilo	a ye yi lo
ayeyinikwe	a ye yi nik w e
ayeyithole	a ye yi thol e
ayeyizele	a ye yi z el e
ayezala	a ye zal a
ayezibhalelwe	a ye zi bhal el w e
ayeziqoqele	a ye zi qoq el e
ayezobonakala	a ye zo bon akal a
ayezwa	a y ezw a
ayi	a yi
ayibale	a yi bal e
ayibalulekile	a yi balulek ile
ayibambi	a yi bamb i
ayibhalile	a yi bhal ile
ayibhekayo	a yi bhek a yo
ayibheke	a yi bhek e
ayibuke	a yi buk e
ayibulale	a yi bulal e
ayichonce	a yi chonc e
ayifiki	a yi fik i
ayifunayo	a yi fun a yo
ayifunde	a yi fund e
ayigibele	a yi gibel e
ayigugu	a y i gugu
ayihlali	a yi hlal i
ayihlele	a yi hlel e
ayikamethembi	a yi ka m ethemb i
ayikaze	a yi kaze
ayikedluli	a yi k edlul i
ayikho	a yi kho
ayikhombise	a yi khomb is e
ayikhulumi	a yi khulum i
ayilutho	a yi lu tho
ayiminingi	a y i mi ningi
ayimlahli	a yi m lahl i
ayinazindlebe	a yi na zin dlebe
ayingangaye	a yi nganga ye
ayiphendule	a yi phendul e
ayiphinde	a yi phind e
ayisafiki	a yi sa fik i
ayisakhululekile	a yi sa khulul ek ile
ayisathathi	a yi sa thath i
ayisekho	a yi se kho
ayisengangawo	a yi se nganga wo
ayishoyo	a yi sho yo
ayishumi	a y i shumi
ayisihlanu	a y i si hlanu
ayisimangaliso	a y i si mangal is o
ayisindwa	a yi sind w a
ayithathe	a yi thath e
ayithola	a yi thol a
ayithole	a yi thol e
ayitholile	a yi thol ile
ayithululele	a yi thulul el e
ayitshelwa	a yi tshel w a
ayivulele	a yi vul el e
ayiwela	a yi wel a
ayiwuhlanganisile	a yi wu hlangan is ile
ayiyi	a yi y i
ayizikholwa	a yi zi kholw a
ayo	a yo
ayobalunguza	a yo ba lunguz a
ayobika	a yo bik a
ayobona	a yo bon a
ayogeza	a yo gez a
ayokuthola	a yo ku thol a
ayolala	a yo lal a
ayomthengela	a yo m theng el a
ayowubeke	a yo wu bek e
ayoyiphuthaza	a yo yi phuthaz a
ayoyisebenzisa	a yo yi sebenz is a
ayozibongela	a yo zi bong el a
ayozibuyisela	a yo zi buy is el a
azabe	a z ab e
azame	a zam e
aze	a ze
azi	azi
azibona	a zi bon a
azibonele	a zi bon el e
azibulale	a zi bulal e
azibuzele	a zi buz el e
azicelile	a zi cel ile
azidilizelwe	a zi diliz el w e
azidudoze	a zi dudoz e
azifani	a zi fan i
azifele	a zi fel e
azifisayo	a zi fis a yo
azifune	a zi fun e
aziguqule	a zi guqul e
azihlalele	a zi hlal el e
azihlole	a zi hlol e
azihluphe	a zi hluph e
azikhalela	a zi khal el a
azikhuluma	a zi khulum a
azikhuze	a zi khuz e
azilandele	a zi landel e
azimela	a zi m el a
azimnakile	a zi m nak ile
azingihloniphi	a zi ngi hloniph i
azinikele	a zi nik el e
azinikwe	a zi nik w e
azinithele	a zi nith el e
azisalanga	a zi sal anga
azisale	a zi sal e
azisebenzele	a zi sebenzel e
azithumela	a zi thum el a
azivokele	a zi vok el e
aziwa	az iw a
azizwe	a zi zw e
