ababa	a bab a
abazihlalele	a ba zi hlal el e
abaziphatha	a ba zi phath a
abaziphethe	a ba zi pheth e
abaziwayo	a b az iw a yo
abazofuna	a ba zo fun a
abazokukhombisa	a ba zo ku khomb is a
abazothenga	a ba zo theng a
abazukuhlala	a ba zu ku hlal a
abe	a b e
abebekwenza	a be be kw enz a
abebengaqonde	a be be nga qond e
abebezivakashele	a be be zi vakash el e
abebusa	a be bus a
abefundisi	a be fund is i
abehlukana	a b ehluk an a
abekade	a be kade
abeke	a bek e
abekezela	a bekezel a
abekucele	a be ku cel e
abelokhu	a be lokhu
abelungu	a be lungu
abemgwema	a b e m gwem a
abempofu	a be mpofu
abengamele	a b engamel e
abenjalo	a be njalo
abese	a be se
abeseduze	a be se duze
abesesizakele	a be se si zakele
abesibeke	a b e si bek e
abezayo	a b ez a yo
abhalisele	a bhal is el e
abheke	a bhek e
abhokode	a bhokod e
abilayo	a bil a yo
abitoze	a bitoz e
abizwe	a biz w e
abo	a bo
abobuya	a bo buy a
abomvu	a bomvu
abona	a bo na, a bon a
abonakale	a bon akal e
abone	a bon e
abonge	a bong e
abrahama	abrahama
abukeke	a buk ek e
abulala	a bulal a
abulale	a bulal e
abuse	a bus e
abuveze	a bu vez e
abuya	a buy a
abuye	a buy e
abuyele	a buy el e
abuze	a buz e
acabange	a cabang e
acabangisise	a cabang isis e
acashise	a cash is e
acasuke	a casuk e
acele	a cel e
achithe	a chith e
acingwe	a cing w e
acwala	a cwal a
adam	adam
adamu	adamu
adedelwe	a dedel w e
adideke	a did ek e
adinge	a ding e
adle	a dl e
adoni	adoni
adonselwa	a donsel w a
adumbe	a dumb e
afakane	a fak an e
afake	a fak e
afande	a fand e
afanele	a fanel e
afe	a f e
afele	a f el e
afika	a fik a
afike	a fik e
afinyelele	a finyelel e
africa	africa
afrika	afrika
afuna	a fun a
afunde	a fund e
afune	a fun e
agane	a gan e
agcizeleleke	a gcizel el ek e, a gcizelel ek e
agcobe	a gcob e
agingqike	a gingqik e
agugele	a gug el e
aguqe	a guq e
agwilize	a gwiliz e
ahamba	a hamb a
ahambe	a hamb e
ahlabayo	a hlab a yo
ahlabe	a hlab e
ahlakaniphile	a hlakaniph ile
ahlala	a hlal a
ahlale	a hlal e
ahlambulule	a hlambulul e
ahlangane	a hlangan e
ahle	a hle
ahleka	a hlek a
ahleke	a hlek e
ahlolisise	a hlol isis e
ahlupheke	a hluph ek e
ajabule	a jabul e
akabange	a ka bang e, a ka bange
akabezwa	a ka bez w a
akabona	a ka bo na
akaboni	a ka bon i
akabotshelwa	a ka bo tshel w a
akacabangi	a ka cabang i
